# Combined results from parallel chase escape simulations
# Total realizations: 10000
# Number of jobs: 1000
# p	escape_probability	std_error
1.9500	0.475700	0.004992
1.9550	0.505000	0.004749
1.9600	0.550300	0.004862
1.9650	0.579800	0.005081
1.9700	0.612000	0.004919
1.9750	0.647200	0.004709
1.9800	0.679800	0.004498
1.9850	0.704300	0.004761
1.9900	0.729900	0.004329
1.9950	0.767300	0.004121
2.0000	0.788000	0.004081
