# Combined results from parallel chase escape simulations
# Total realizations: 10000
# Number of jobs: 1000
# p	escape_probability	std_error
1.9500	0.003600	0.000589
1.9550	0.015700	0.001234
1.9600	0.071200	0.002575
1.9650	0.206900	0.004155
1.9700	0.452800	0.005055
1.9750	0.710700	0.004469
1.9800	0.886300	0.003092
1.9850	0.966200	0.001816
1.9900	0.993400	0.000798
1.9950	0.998800	0.000344
2.0000	0.999900	0.000100
