# Combined results from parallel chase escape simulations
# Total realizations: 10000
# Number of jobs: 1000
# p	escape_probability	std_error
1.9500	0.372800	0.004891
1.9550	0.429300	0.004963
1.9600	0.478400	0.005075
1.9650	0.537000	0.004959
1.9700	0.599100	0.005023
1.9740	0.641100	0.004887
1.9750	0.657300	0.004687

1.9800	0.704300	0.004424
1.9850	0.752800	0.004337
1.9900	0.796300	0.003867
1.9950	0.830700	0.003783
2.0000	0.864100	0.003290
